Strategy,Return,Vol,Sharpe_gross,Sharpe_net,Sharpe_net_CI_lo,Sharpe_net_CI_hi,Sortino_net,MDD_net,Calmar_net,CAGR_net,WinRate_net,Turnover,t_stat_net,p_value_net,N_days,Period,Universe
1/N,0.039416281992852235,0.09367974369036201,0.42075565581321583,0.42075565581321583,-0.2936012581908507,1.0813400485679268,0.6332851488586041,0.1443684408082826,0.2730256126073703,0.03565364119673986,0.5016429353778752,0.0,1.132609183543786,0.257527190559672,1826,IN-SAMPLE (calibration),"Core (EUR, JPY) - matches paper"
Risk parity,0.038176811297238204,0.093155419020931,0.41229565517242667,0.40981847002008864,-0.2784993167978438,1.0894747869247001,0.603528819837318,0.14506141107730675,0.26317689186749227,0.03442161893809992,0.4846659364731654,0.004553687933226156,1.103167970097758,0.2700996714274928,1826,IN-SAMPLE (calibration),"Core (EUR, JPY) - matches paper"
TSMOM,0.0003762028147785038,0.12923830831348496,0.016582111182733787,0.0029109233917390277,-0.5103728679815707,0.44362688381145443,0.003069195000690719,0.1891094189384851,0.001989339382936171,-0.007996634768782207,0.436473165388828,0.03506564353468223,0.007835755789672959,0.9937488918205869,1826,IN-SAMPLE (calibration),"Core (EUR, JPY) - matches paper"
1/N (ext G10),0.03899950104576671,0.08975608584636728,0.43450536727415845,0.43450536727415845,-0.5262137746759786,1.3913963506299545,0.643280774085053,0.1991376204257551,0.1958419557408891,0.035592075264638146,0.5029585798816568,0.0,0.9414282957606765,0.3466777788217585,1183,IN-SAMPLE (calibration),"Extended G10 (EUR,JPY,GBP,AUD,CAD,CHF) - robustness, NOT in paper"
Risk parity (ext G10),0.037882526717118364,0.08772716889966625,0.43530644990890466,0.4318220591438975,-0.5657236735932694,1.3842189698449057,0.6075155109360286,0.20064296283734984,0.18880565847618405,0.034621892975764235,0.48774302620456467,0.006057607917840617,0.9356144614784446,0.3496628322354003,1183,IN-SAMPLE (calibration),"Extended G10 (EUR,JPY,GBP,AUD,CAD,CHF) - robustness, NOT in paper"
TSMOM (ext G10),0.005748275604048474,0.08717859203453644,0.08356566867048087,0.06593677954527245,-0.6981047756933113,0.7602960642257832,0.07246263169926054,0.19191049977366703,0.029952897891609903,0.001946089928369421,0.4125105663567202,0.030525305112372576,0.14286302234809028,0.8864227116915736,1183,IN-SAMPLE (calibration),"Extended G10 (EUR,JPY,GBP,AUD,CAD,CHF) - robustness, NOT in paper"
1/N,-0.027366200768354422,0.07087196758714295,-0.38613575578673487,-0.38613575578673487,-0.8546030324416812,0.11211613145679751,-0.5865659326464252,0.4047370954876264,-0.06761475800824158,-0.029436315292669546,0.47860669226549646,0.0,-1.4687506793465994,0.1419867188079867,3646,OUT-OF-SAMPLE (matches paper 2011-2024),"Core (EUR, JPY) - matches paper"
Risk parity,-0.02803842522397613,0.0689369066239566,-0.4035946098209205,-0.4067258975939074,-0.8752724948852264,0.09944363811935579,-0.6132140766123585,0.41365288824093316,-0.06778249595502663,-0.02995778309034358,0.47970378496982996,0.004281969455793405,-1.5470697272822436,0.12193324580678244,3646,OUT-OF-SAMPLE (matches paper 2011-2024),"Core (EUR, JPY) - matches paper"
TSMOM,0.007250107841769232,0.06112354305992042,0.1554058936894143,0.11861399845002164,-0.4315909651014316,0.6354668389830166,0.16353797116455498,0.24971471390258504,0.029033562854440108,0.005395684609446061,0.5153592978606693,0.04459096170573918,0.45117394126977833,0.6518910288193358,3646,OUT-OF-SAMPLE (matches paper 2011-2024),"Core (EUR, JPY) - matches paper"
1/N (ext G10),-0.01814679525949287,0.0644385085915977,-0.2816141412350917,-0.2816141412350917,-0.7433099128244758,0.20808025288545165,-0.4297764850202573,0.3367059888021423,-0.053895077197918285,-0.020019175887698526,0.49066959385290887,0.0,-1.070886325234662,0.2842914867861809,3644,OUT-OF-SAMPLE (matches paper 2011-2024),"Extended G10 (EUR,JPY,GBP,AUD,CAD,CHF) - robustness, NOT in paper"
