date,USD,EUR,GBP,AUD,NZD,JPY,CAD,CHF,SEK,NOK
1994-01-31,88.69,108.94,114.84,88.9,87.39,164.09,109.56,93.2,135.45,117.04
1994-02-28,88.2,108.66,113.1,90.27,87.47,170.65,105.86,93.46,136.92,116.37
1994-03-31,88.3,110.51,112.73,88.97,86.37,172.27,103.52,93.83,136.5,117.43
1994-04-30,88.21,110.37,112.87,89.2,85.52,174.86,101.87,93.23,137.48,116.98
1994-05-31,87.45,111.9,113.06,89.62,87.04,172.73,101.39,92.58,138.15,117.64
1994-06-30,87.14,112.52,113.17,90.17,87.67,172.36,100.89,94.0,134.69,118.56
1994-07-31,85.96,114.77,111.25,88.85,88.09,176.4,100.48,95.17,132.3,119.7
1994-08-31,85.73,114.55,111.04,89.23,88.11,173.22,100.44,95.62,132.14,119.33
1994-09-30,84.76,114.16,111.43,88.52,87.8,173.68,101.74,96.46,135.28,119.25
1994-10-31,84.08,115.2,112.56,87.44,88.4,173.81,101.43,96.87,138.15,120.22
1994-11-30,84.27,113.68,112.04,89.7,89.99,173.98,100.89,95.14,137.24,119.17
1994-12-31,86.12,112.24,111.94,93.26,92.81,170.57,99.81,94.05,136.0,118.83
1995-01-31,88.03,113.38,111.21,91.69,93.05,169.61,98.38,96.15,135.01,120.33
1995-02-28,87.25,114.58,109.99,88.96,92.38,170.39,99.06,96.92,135.04,120.95
1995-03-31,86.03,117.22,108.63,85.57,92.41,182.0,97.82,101.4,132.53,123.31
1995-04-30,82.62,116.92,107.21,83.59,93.23,193.98,98.8,102.27,129.13,122.28
1995-05-31,82.18,115.3,107.2,83.23,93.89,191.35,100.04,100.19,131.13,121.33
1995-06-30,82.23,115.66,106.81,82.32,94.12,191.26,98.53,100.35,130.59,121.88
1995-07-31,82.19,117.05,105.93,83.89,94.94,184.04,100.0,99.95,131.46,122.4
1995-08-31,84.25,115.46,107.1,88.13,94.06,170.97,100.89,99.2,133.48,121.7
1995-09-30,85.23,114.54,107.68,90.96,94.52,161.88,101.6,100.58,137.07,121.76
1995-10-31,85.23,116.22,106.99,90.93,94.51,159.49,101.41,102.42,140.94,122.23
1995-11-30,86.18,116.74,105.89,89.9,94.48,157.46,101.57,102.57,146.06,121.33
1995-12-31,86.37,116.03,105.82,89.76,94.56,158.03,100.26,101.68,146.24,120.4
1996-01-31,86.8,115.19,105.51,90.29,96.91,151.69,100.31,101.26,144.84,119.79
1996-02-29,86.79,115.23,106.23,91.71,98.35,150.55,99.4,99.85,141.43,120.28
1996-03-31,86.84,114.67,105.96,93.64,98.74,150.03,100.17,99.91,145.12,119.9
1996-04-30,86.68,113.21,106.17,95.73,98.65,148.46,100.52,98.61,146.78,119.53
1996-05-31,86.79,112.2,107.19,97.32,98.96,150.17,99.93,96.12,145.8,119.05
1996-06-30,87.1,112.62,109.09,97.13,98.22,146.29,100.26,95.84,147.39,119.48
1996-07-31,87.15,113.97,108.46,96.7,100.25,145.44,99.79,96.77,146.71,120.52
1996-08-31,86.53,114.34,107.82,95.32,99.98,146.16,99.13,98.76,145.38,120.43
1996-09-30,86.84,113.11,109.65,96.61,101.26,143.82,99.27,96.87,146.34,120.44
1996-10-31,87.38,112.16,112.03,96.8,102.6,141.04,100.8,95.31,147.75,120.72
1996-11-30,86.98,112.72,116.54,96.79,103.51,139.92,101.92,92.74,144.87,121.57
1996-12-31,87.49,111.5,118.53,97.64,103.24,138.72,100.32,90.23,142.25,121.27
1997-01-31,88.23,109.79,119.78,96.25,104.07,134.34,101.54,87.85,139.7,124.96
1997-02-28,89.73,107.15,120.76,96.58,104.08,129.37,101.73,86.52,136.71,125.82
1997-03-31,90.58,106.2,120.38,99.57,104.75,130.53,100.64,86.47,133.9,124.2
1997-04-30,90.79,105.17,122.95,98.32,104.27,129.86,98.86,86.82,134.36,121.16
1997-05-31,89.48,105.11,122.7,96.37,103.38,137.5,99.63,87.83,133.58,118.9
1997-06-30,89.17,103.64,124.3,93.17,103.04,142.7,99.24,87.46,132.96,117.16
1997-07-31,90.13,101.72,128.34,92.79,100.63,143.14,100.1,86.68,134.18,115.35
1997-08-31,91.66,100.66,126.33,94.33,99.15,141.96,99.7,86.94,134.35,115.02
1997-09-30,91.8,102.73,124.89,92.34,98.97,139.71,99.65,88.04,138.35,118.25
1997-10-31,92.27,104.15,126.21,92.48,99.3,140.99,99.57,88.29,139.17,120.95
1997-11-30,93.79,106.1,130.11,90.16,99.29,136.38,98.05,90.33,137.8,120.51
1997-12-31,96.76,106.62,131.89,89.93,98.0,137.71,98.19,90.7,137.29,120.59
1998-01-31,99.16,106.32,132.07,92.04,97.92,142.75,98.44,90.27,135.0,119.94
1998-02-28,97.66,105.14,131.4,92.53,96.41,143.57,98.21,90.31,132.58,118.68
1998-03-31,97.25,104.19,133.45,91.75,94.7,138.73,99.32,88.63,134.48,118.55
1998-04-30,97.07,104.48,134.22,89.1,91.92,134.02,97.99,87.06,136.48,118.27
1998-05-31,97.78,106.78,130.95,86.74,90.63,132.13,97.25,87.82,137.98,118.39
1998-06-30,99.92,107.49,133.51,85.01,88.63,128.71,96.54,87.82,135.21,118.14
1998-07-31,100.36,107.49,132.74,87.11,89.72,127.33,95.2,86.82,134.03,117.88
1998-08-31,102.11,108.75,132.53,83.59,88.3,123.75,92.47,88.34,131.22,116.52
1998-09-30,100.37,111.67,132.58,81.01,86.42,132.15,92.1,91.23,131.1,115.88
1998-10-31,97.38,112.38,129.37,82.09,85.46,145.16,89.95,92.81,128.35,114.77
1998-11-30,97.07,110.02,128.59,84.39,86.53,145.03,90.16,90.74,127.39,116.51
1998-12-31,96.16,110.56,129.01,81.85,84.58,147.76,89.49,91.88,125.54,113.9
1999-01-31,96.21,109.7,127.29,83.11,86.28,152.38,90.82,91.13,130.16,116.77
1999-02-28,97.24,108.0,128.47,85.31,87.95,148.27,92.66,90.85,131.28,115.42
1999-03-31,98.44,106.4,131.13,85.26,87.31,146.33,92.02,90.08,129.73,117.07
1999-04-30,98.13,104.78,131.27,86.61,88.54,146.37,93.62,88.87,128.8,118.84
1999-05-31,97.88,104.02,132.49,89.76,89.67,143.33,95.73,88.26,127.6,119.51
1999-06-30,98.44,101.97,132.36,89.64,86.98,144.92,95.6,87.88,128.56,119.29
1999-07-31,98.76,102.06,129.77,90.03,85.98,145.89,94.4,87.27,129.18,118.68
1999-08-31,97.64,103.3,130.49,87.2,85.18,153.6,93.56,88.33,129.73,117.39
1999-09-30,97.0,101.47,132.47,87.18,83.74,163.06,94.2,87.59,131.06,117.54
1999-10-31,96.6,102.39,133.24,86.94,81.78,163.66,94.02,88.39,130.37,117.72
1999-11-30,96.81,99.86,133.04,85.75,82.11,165.44,94.69,86.43,129.5,118.01
1999-12-31,96.71,97.98,133.81,86.21,81.45,168.5,94.26,85.83,128.75,118.03
2000-01-31,96.53,97.81,134.2,88.77,81.99,162.97,95.45,85.4,127.39,118.42
2000-02-29,97.93,96.15,133.74,86.17,79.95,156.4,95.88,84.91,127.76,117.8
2000-03-31,98.52,94.6,133.05,83.26,80.52,161.77,95.42,84.01,128.79,116.26
2000-04-30,98.98,93.09,135.22,81.48,82.09,164.01,94.73,84.96,129.43,114.76
2000-05-31,101.32,91.3,132.78,81.05,79.39,162.57,93.95,84.86,129.05,113.07
2000-06-30,100.54,94.61,129.0,83.49,78.39,163.78,94.99,86.15,129.74,114.65
2000-07-31,100.74,94.06,129.04,84.66,77.41,161.06,95.15,86.42,127.2,115.09
2000-08-31,101.28,91.41,130.18,85.18,75.61,162.08,94.94,84.84,125.51,114.62
2000-09-30,102.32,89.22,128.58,82.11,72.24,164.68,95.1,84.97,123.94,114.94
2000-10-31,103.89,87.91,131.85,79.02,70.91,163.59,93.85,85.24,121.63,114.63
2000-11-30,104.4,88.49,129.67,78.22,71.26,162.86,92.3,85.26,120.38,115.76
2000-12-31,103.28,92.03,129.42,81.24,75.42,157.11,93.19,87.21,121.94,115.49
2001-01-31,103.74,95.04,126.82,82.68,77.44,149.26,93.69,88.13,120.72,117.68
2001-02-28,104.58,94.32,126.04,80.31,76.42,149.77,92.83,86.94,119.26,118.15
2001-03-31,106.29,94.73,127.24,77.03,75.33,144.39,91.21,86.79,117.75,119.0
2001-04-30,107.07,94.17,128.31,77.47,73.99,142.62,91.75,86.6,117.89,118.98
2001-05-31,106.92,92.32,129.17,80.42,76.38,145.01,93.21,85.57,117.59,119.7
2001-06-30,107.71,90.94,128.94,80.83,75.74,145.25,94.45,85.58,114.4,119.92
2001-07-31,108.02,92.02,129.28,79.88,75.27,142.37,94.34,86.63,114.18,118.85
2001-08-31,106.16,94.74,128.16,80.45,77.75,144.11,93.03,87.43,115.73,119.06
2001-09-30,106.59,95.41,129.66,77.23,75.75,146.64,91.21,89.01,112.3,121.0
2001-10-31,106.87,95.41,129.02,78.1,75.67,144.34,90.82,89.61,113.08,120.88
2001-11-30,107.39,93.69,128.88,80.95,76.17,142.91,88.92,89.84,114.12,121.01
2001-12-31,106.95,94.54,129.21,81.28,76.59,137.43,90.34,89.37,114.08,120.41
2002-01-31,108.07,93.77,128.73,82.5,78.68,131.53,89.33,89.16,115.84,120.9
2002-02-28,108.74,92.85,128.93,82.32,78.14,129.68,90.04,88.39,115.86,122.28
2002-03-31,108.49,93.34,128.18,83.67,80.0,132.08,90.6,88.69,118.05,123.15
2002-04-30,108.24,93.59,128.84,84.77,81.37,131.66,90.9,89.4,117.2,124.67
2002-05-31,106.72,95.79,127.5,85.51,83.26,134.85,92.48,90.84,117.42,127.85
2002-06-30,105.5,98.57,126.3,87.07,86.64,136.45,93.32,91.09,120.28,131.34
2002-07-31,104.08,100.7,128.9,83.5,84.34,140.47,92.42,92.26,119.22,132.85
2002-08-31,105.31,100.05,129.12,82.45,82.23,140.64,91.41,91.77,119.1,131.38
2002-09-30,105.82,100.11,130.52,83.3,83.37,138.4,91.03,91.72,120.79,132.87
2002-10-31,106.57,100.45,130.81,84.23,85.79,134.89,91.14,92.27,121.98,133.58
2002-11-30,105.22,100.9,129.77,85.02,87.48,136.24,91.36,92.28,122.34,134.89
2002-12-31,104.29,102.34,129.66,85.17,89.45,134.86,91.63,92.38,122.55,136.7
2003-01-31,102.92,104.66,127.43,86.72,92.5,135.69,92.63,93.97,123.23,140.79
2003-02-28,103.25,106.0,125.73,88.28,93.93,133.74,94.52,93.92,125.15,137.06
2003-03-31,103.11,106.94,123.49,89.14,93.49,134.93,96.75,93.9,124.74,130.79
2003-04-30,102.1,107.14,122.54,89.95,92.59,133.37,96.94,92.29,125.24,129.97
2003-05-31,98.46,111.05,120.93,93.37,93.82,134.1,101.58,92.76,127.49,130.75
2003-06-30,98.45,111.78,123.07,95.8,94.06,132.29,103.7,91.36,128.09,125.93
2003-07-31,99.52,110.11,122.14,96.39,95.74,132.45,102.13,89.6,126.05,123.09
2003-08-31,100.87,108.72,121.7,95.43,95.82,132.98,101.18,89.53,124.29,123.14
2003-09-30,99.77,108.55,122.03,95.83,94.88,136.27,103.03,88.84,126.95,123.72
2003-10-31,97.48,110.68,123.43,98.34,95.23,140.96,105.2,90.0,128.98,124.04
2003-11-30,96.78,110.63,124.09,101.46,98.92,140.4,106.55,89.21,128.82,124.56
2003-12-31,95.11,114.01,124.82,103.05,99.74,140.47,105.96,90.65,130.15,125.3
2004-01-31,93.75,114.57,126.91,106.19,101.51,140.04,106.37,90.21,129.05,120.73
2004-02-29,94.42,114.43,129.95,106.97,104.04,139.1,103.39,89.53,127.9,118.14
2004-03-31,95.67,112.52,129.04,104.25,100.93,137.38,103.65,88.75,126.06,120.46
2004-04-30,96.37,110.79,128.86,103.57,98.28,138.32,102.94,89.06,125.33,122.67
2004-05-31,98.26,112.04,128.41,99.34,96.68,133.75,101.05,90.38,126.41,124.31
2004-06-30,97.59,112.01,130.0,97.09,98.54,136.69,102.04,91.81,125.64,123.17
2004-07-31,96.68,112.19,129.82,99.67,100.48,135.74,104.7,90.67,125.21,120.73
2004-08-31,96.75,112.07,129.02,99.31,102.29,134.58,105.13,90.05,124.8,122.23
2004-09-30,96.19,112.2,126.7,97.91,103.12,134.77,106.95,89.74,126.93,122.18
2004-10-31,95.04,113.4,125.39,101.02,105.16,135.6,109.8,90.77,127.84,124.46
2004-11-30,92.4,114.73,125.34,104.12,104.97,138.13,114.07,92.86,128.84,126.65
2004-12-31,90.9,116.44,127.59,102.63,106.32,136.97,111.34,92.25,129.65,125.67
2005-01-31,91.59,113.87,125.31,103.03,105.14,137.34,110.79,90.71,127.42,125.08
2005-02-28,91.77,112.59,126.13,104.92,106.12,133.68,109.21,89.93,126.41,122.53
2005-03-31,91.69,114.07,126.16,104.89,107.75,132.8,111.06,90.1,126.37,125.05
2005-04-30,92.94,113.15,127.24,104.13,107.53,130.79,109.48,90.13,124.43,125.06
2005-05-31,93.19,111.96,126.41,103.77,108.13,132.12,108.02,89.45,123.19,126.21
2005-06-30,94.3,109.12,127.23,105.95,108.35,130.72,110.11,88.29,120.48,127.69
2005-07-31,94.92,108.9,123.55,105.23,105.16,127.03,111.91,86.66,117.96,127.36
2005-08-31,93.94,109.5,124.54,105.22,106.53,126.91,112.97,87.18,119.39,127.47
2005-09-30,94.5,108.93,125.32,105.59,106.98,126.3,115.51,87.09,119.24,129.14
2005-10-31,95.6,108.31,123.91,105.0,108.13,122.57,115.46,87.37,117.72,128.41
2005-11-30,95.56,107.23,123.84,103.74,108.64,119.19,115.67,87.1,115.41,128.51
2005-12-31,94.38,107.52,123.99,104.27,108.84,118.46,117.65,86.7,116.94,125.57
2006-01-31,93.5,107.22,122.5,103.71,106.01,119.5,117.27,86.77,117.97,124.55
2006-02-28,93.65,106.12,122.45,103.28,104.48,116.36,117.89,85.87,117.18,124.33
2006-03-31,94.22,107.45,121.52,101.63,98.94,117.04,117.29,85.12,117.24,125.98
2006-04-30,93.95,108.73,121.4,102.19,96.11,115.83,118.09,85.5,118.51,129.05
2006-05-31,92.28,110.48,125.48,104.33,95.43,119.9,121.02,87.27,119.31,130.29
2006-06-30,93.73,111.18,125.42,102.63,95.26,117.89,120.88,87.15,120.82,129.21
2006-07-31,93.7,111.08,125.16,104.53,94.89,116.12,119.08,86.14,121.01,127.54
2006-08-31,93.01,110.86,127.89,105.47,96.61,115.99,119.64,85.71,121.0,126.46
2006-09-30,92.63,110.46,128.1,104.58,100.05,114.83,119.7,85.02,120.84,123.88
2006-10-31,92.43,109.79,128.26,104.63,101.48,113.29,118.62,84.7,120.69,121.55
2006-11-30,91.31,110.31,128.79,105.75,101.1,112.68,117.55,84.82,123.09,123.65
2006-12-31,90.24,111.45,130.31,105.74,103.11,111.19,115.29,84.8,124.15,124.49
2007-01-31,91.44,109.92,130.66,106.01,104.53,108.22,113.02,83.04,122.88,121.15
2007-02-28,91.22,110.07,130.09,105.34,103.94,106.54,113.61,82.75,121.57,124.28
2007-03-31,91.31,111.23,128.19,106.0,103.89,109.24,113.8,83.12,120.75,124.29
2007-04-30,90.37,112.21,128.62,109.75,107.66,106.57,116.65,82.68,121.97,124.23
2007-05-31,90.0,111.88,127.93,109.55,107.31,104.48,120.74,81.87,121.79,123.61
2007-06-30,89.89,111.27,128.84,112.19,110.49,102.38,123.78,81.47,119.87,124.47
2007-07-31,88.51,111.51,128.87,113.93,112.89,101.65,124.79,81.23,121.99,126.29
2007-08-31,88.47,111.17,128.32,109.11,104.99,106.9,123.68,81.83,119.93,125.53
2007-09-30,87.2,112.12,126.5,110.22,102.81,107.27,126.72,81.53,121.59,128.62
2007-10-31,85.32,112.88,125.7,115.47,106.59,104.61,131.86,81.04,123.49,130.88
2007-11-30,84.03,114.54,124.14,113.38,105.73,107.5,132.19,82.75,123.1,129.13
2007-12-31,84.42,114.42,122.19,110.78,107.48,106.21,127.19,82.05,120.95,128.94
2008-01-31,83.9,113.8,116.83,110.93,106.4,109.13,125.03,83.94,120.22,129.53
2008-02-29,82.75,112.91,116.16,113.85,107.89,107.79,125.61,84.11,120.66,129.22
2008-03-31,81.49,116.78,114.41,113.22,106.52,113.15,124.01,87.14,122.3,130.13
2008-04-30,81.26,117.61,112.39,113.33,104.49,109.93,122.26,86.59,123.32,130.3
2008-05-31,81.88,116.88,112.42,116.63,103.3,109.19,124.89,84.89,123.41,130.81
2008-06-30,82.4,116.42,112.69,117.21,101.51,106.31,122.57,85.17,122.57,128.43
2008-07-31,81.91,116.01,112.43,118.01,100.08,105.42,122.39,84.6,121.23,128.45
2008-08-31,83.56,113.04,111.44,111.15,97.81,105.52,118.94,83.15,120.81,128.14
2008-09-30,85.33,111.64,109.73,104.88,95.47,110.52,119.73,83.77,119.06,126.16
2008-10-31,90.14,109.11,109.34,90.82,90.99,122.97,109.52,87.1,114.72,118.93
2008-11-30,91.08,108.27,102.88,89.14,86.91,129.91,107.92,86.42,110.97,115.88
2008-12-31,89.55,113.96,97.0,89.7,84.63,137.0,105.86,86.97,106.23,112.3
2009-01-31,90.47,112.96,94.58,90.78,83.46,137.52,106.35,89.11,106.3,114.5
