date,USD,EUR,GBP,AUD,NZD,JPY,CAD,CHF,SEK,NOK,MXN,ZAR,BRL,INR,TRY,PLN,HUF,CZK,ILS,KRW,IDR,THB,PHP,CLP,COP,RON
1946-01-31,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-02-28,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-03-31,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-04-30,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-05-31,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-06-30,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-07-31,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-08-31,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-09-30,,,2.0,,,3.29,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-10-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-11-30,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1946-12-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-01-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-02-28,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-03-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-04-30,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-05-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-06-30,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-07-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-08-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-09-30,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-10-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-11-30,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1947-12-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-01-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-02-29,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-03-31,,,2.0,,,3.65,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-04-30,,,2.0,,,4.38,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-05-31,,,2.0,,,4.38,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-06-30,,,2.0,,,4.38,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-07-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-08-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-09-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-10-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-11-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1948-12-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-01-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-02-28,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-03-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-04-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-05-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-06-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-07-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-08-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-09-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-10-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-11-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1949-12-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-01-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-02-28,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-03-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-04-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-05-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-06-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-07-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-08-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-09-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-10-31,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-11-30,,,2.0,,,5.11,,1.5,2.5,,,,,3.0,,,,,,,,,,,,
1950-12-31,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-01-31,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-02-28,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-03-31,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-04-30,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-05-31,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-06-30,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-07-31,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-08-31,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-09-30,,,2.0,,,5.11,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-10-31,,,2.0,,,5.84,,1.5,3.0,,,,,3.0,,,,,,,,,,,,
1951-11-30,,,2.5,,,5.84,,1.5,3.0,,,,,3.5,,,,,,,,,,,,
1951-12-31,,,2.5,,,5.84,,1.5,3.0,,,,,3.5,,,,,,,,,,,,
1952-01-31,,,2.5,,,5.84,,1.5,3.0,,,,,3.5,,,,,,,,,,,,
1952-02-29,,,2.5,,,5.84,,1.5,3.0,,,,,3.5,,,,,,,,,,,,
