cost_bps_oneway,mult_of_original,period,sharpe,mean_monthly,tstat,pvalue
0.0,0.0,IS,0.2570299304278411,0.0010112676887092395,0.9147762267640742,0.3617675822907924
0.0,0.0,OOS,0.6800253875796527,0.0022907280534346527,1.733731360503573,0.08696818402166731
1.0,0.5,IS,0.2554122060408643,0.0010049518992355554,0.909018703474084,0.36478884975223624
1.0,0.5,OOS,0.6776614308868699,0.002282779335485935,1.727704429850679,0.0880501996807071
2.0,1.0,IS,0.2537944706438685,0.000998636109761871,0.9032611409991491,0.36782600992410386
2.0,1.0,OOS,0.6752968684407686,0.0022748306175372165,1.7216759548237894,0.08914353995308769
4.0,2.0,IS,0.25055897984328346,0.000986004530814503,0.8917459448452911,0.3739479163852146
4.0,2.0,OOS,0.6705659531149329,0.0022589331816397808,1.709614440041994,0.0913645220628973
6.0,3.0,IS,0.24732348406353083,0.0009733729518671346,0.8802307309704459,0.38013310483387025
6.0,3.0,OOS,0.6658326953018524,0.002243035745742345,1.6975469530661123,0.09363178579937351
8.0,4.0,IS,0.24408800932616537,0.0009607413729197658,0.8687155919860052,0.3863813578445873
8.0,4.0,OOS,0.6610971487744,0.002227138309844909,1.6854736309906089,0.0959459863710012
10.0,5.0,IS,0.24085258163582204,0.0009481097939723973,0.8572006204431438,0.39269243729364867
10.0,5.0,OOS,0.6563593673755621,0.0022112408739474727,1.6733946110887037,0.09830777840194327
