window,n_months,sharpe,mean_monthly
2019,12,0.8949623810023271,0.0029313364079265997
2020,12,-0.8086063568307335,-0.0038161341382705583
2021,12,0.26042485010107697,0.0006414540184113085
2022,12,1.1753754139432562,0.0034109722049316168
2023,12,2.378779040006624,0.0076198470312478506
2024,12,0.9838407456575818,0.003225888375540367
2025,6,0.4937166593723951,0.0015460702284094494
block1_2019-01-31_2021-02-28,26,-0.04615474939103904,-0.0001817557953488269
block2_2021-03-31_2023-04-30,26,1.2407870889324077,0.003473786357487877
block3_2023-05-31_2025-06-30,26,1.0738690568335043,0.0035324612904725997
